Frame	Saglam	Kirik
0	7	0
1	7	0
2	7	0
3	6	0
4	7	0
5	7	0
6	7	0
7	7	0
8	6	0
9	7	0
10	7	0
11	7	0
12	7	0
13	6	0
14	6	0
15	6	0
16	6	0
17	7	0
18	7	0
19	7	0
20	7	0
21	7	0
22	6	0
23	6	0
24	7	0
25	7	0
26	7	0
27	6	1
28	7	0
29	6	0
30	6	0
31	7	0
32	7	0
33	7	0
34	7	0
35	7	0
36	6	0
37	7	0
38	6	0
39	7	0
40	6	1
41	7	0
42	6	0
43	8	0
44	6	0
45	6	0
46	7	0
47	7	0
48	7	0
49	7	0
50	7	0
51	7	0
52	7	0
53	7	0
54	7	0
55	6	0
56	7	0
57	6	0
58	7	0
59	7	0
60	7	0
61	7	0
62	7	0
63	7	0
64	6	0
65	7	0
66	7	0
67	7	0
68	6	0
69	7	0
70	6	0
71	7	0
72	6	0
73	7	0
74	7	0
75	7	0
76	7	0
77	7	0
78	7	0
79	6	0
80	7	0
81	6	1
82	7	0
83	6	0
84	6	1
85	6	1
86	7	0
87	7	0
88	7	0
89	6	0
90	7	0
91	6	1
92	6	0
93	7	0
94	6	0
95	7	0
96	7	0
97	6	0
98	7	0
99	6	0
100	6	0
101	7	0
102	7	0
103	7	0
104	7	0
105	6	0
106	7	0
107	6	0
108	7	0
109	7	0
110	7	0
111	6	0
112	7	0
113	6	0
114	6	0
115	7	0
116	7	0
117	6	0
118	7	0
119	7	0
120	6	1
121	5	1
122	6	1
123	4	2
124	3	3
125	4	3
126	5	2
127	5	1
128	3	3
129	4	3
130	4	2
131	5	2
132	5	2
133	5	1
134	4	2
135	5	1
136	6	2
137	6	1
138	6	1
139	5	1
140	6	1
141	5	1
142	6	1
143	6	1
144	5	1
145	6	1
146	6	1
147	6	0
148	7	0
149	7	0
150	7	0
151	6	0
152	6	0
153	7	0
154	7	0
155	6	0
156	6	0
157	7	0
158	8	0
159	7	0
160	8	0
161	6	0
162	6	0
163	6	0
164	7	0
165	7	0
166	6	0
167	7	0
168	6	0
169	6	0
170	7	0
171	7	0
172	7	0
173	7	0
174	7	0
175	7	0
176	6	0
177	6	0
178	7	0
179	6	0
180	6	0
181	7	0
182	7	0
183	6	0
184	7	0
185	7	0
186	7	0
187	7	0
188	7	0
189	6	0
190	6	0
191	7	0
192	7	0
193	7	0
194	6	0
195	6	1
196	5	1
197	4	2
198	4	2
199	4	3
200	4	2
201	5	2
202	4	2
203	5	2
204	5	2
205	6	2
206	4	2
207	3	2
208	5	2
209	6	0
210	6	0
211	6	0
212	6	0
213	7	0
214	7	0
215	7	0
216	6	0
217	7	0
218	6	0
219	7	0
220	7	0
221	7	0
222	6	1
223	8	0
224	6	0
225	7	0
226	7	0
227	7	0
228	7	0
229	7	0
230	7	0
231	6	0
232	6	0
233	6	0
234	6	0
235	7	0
236	4	2
237	7	0
238	6	0
239	5	2
240	6	1
241	7	0
242	7	0
243	7	1
244	6	1
245	6	1
246	6	1
247	7	1
248	6	0
249	6	0
250	7	0
251	6	0
252	6	0
253	5	1
254	7	0
255	6	0
256	6	0
257	7	0
258	7	1
259	7	0
260	6	0
261	7	0
262	6	1
263	6	0
264	7	0
265	6	0
266	6	1
267	7	0
268	7	0
269	6	0
270	7	0
271	7	0
272	7	0
273	7	0
274	7	0
275	8	0
276	6	0
277	6	0
278	7	0
279	6	0
280	6	0
281	7	0
282	7	0
283	7	0
284	7	0
285	7	0
286	6	0
287	7	0
288	7	0
289	7	0
290	7	0
291	6	0
292	7	0
293	7	0
294	6	0
295	7	0
296	7	0
297	7	0
298	7	0
299	6	0
300	6	0
301	7	0
302	7	0
303	7	0
304	6	0
305	7	0
306	7	0
307	7	0
308	6	0
309	7	0
