Frame	Saglam	Kirik
0	3	2
1	4	0
2	4	1
3	4	1
4	4	0
5	4	1
6	4	1
7	4	1
8	4	0
9	4	1
10	4	0
11	4	0
12	4	0
13	4	1
14	4	1
15	3	1
16	4	1
17	4	1
18	5	0
19	4	1
20	4	0
21	4	1
22	4	1
23	5	0
24	4	0
25	5	0
26	4	1
27	4	0
28	4	0
29	4	1
30	4	1
31	4	1
32	4	1
33	4	0
34	4	0
35	4	0
36	4	1
37	4	1
38	4	1
39	4	0
40	4	0
41	4	0
42	4	0
43	4	0
44	4	0
45	4	0
46	4	1
47	4	0
48	4	0
49	4	1
50	4	1
51	4	1
52	4	0
53	4	0
54	4	0
55	5	0
56	4	1
57	4	0
58	4	0
59	4	0
60	4	0
61	5	0
62	4	0
63	5	0
64	4	0
65	5	0
66	4	0
67	4	0
68	3	1
69	3	0
70	4	1
71	4	1
72	3	2
73	2	2
74	2	1
75	2	1
76	3	0
77	4	0
78	3	1
79	4	0
80	3	1
81	4	0
82	2	1
83	4	1
84	3	1
85	3	1
86	4	0
87	3	0
88	3	1
89	4	3
90	4	1
91	4	1
92	3	1
93	4	0
94	2	1
95	4	0
96	4	1
97	3	2
98	4	0
99	2	2
100	3	0
101	4	0
102	4	1
103	4	0
104	4	0
105	3	1
106	3	0
107	3	1
108	3	1
109	3	1
110	4	0
111	1	3
112	1	3
113	0	4
114	4	0
115	3	1
116	2	1
117	1	3
118	2	2
119	4	1
120	4	0
121	4	0
122	2	2
123	2	1
124	4	0
125	3	2
126	3	1
127	4	0
128	4	0
129	4	0
130	3	0
131	3	1
132	4	1
133	5	0
134	2	1
135	3	1
136	3	1
137	4	0
138	3	1
139	3	1
140	2	1
141	4	0
142	4	0
143	3	2
144	3	1
145	3	1
146	4	0
147	3	0
148	3	1
149	4	1
150	3	1
151	5	0
152	3	1
153	4	0
154	3	0
155	3	1
156	3	2
157	4	0
158	3	1
159	2	1
160	3	2
161	2	1
162	3	2
163	3	1
164	3	0
165	3	1
166	2	1
167	3	1
168	4	1
169	3	1
170	4	1
171	2	3
172	2	2
173	3	2
174	4	0
175	4	1
176	3	0
177	2	1
178	3	1
179	4	0
180	3	1
181	4	1
182	4	0
183	4	2
184	3	1
185	4	0
186	5	0
187	3	0
188	4	0
189	3	0
190	4	1
191	5	0
192	4	1
193	4	0
194	4	1
195	4	0
196	4	0
197	4	1
198	3	2
199	5	1
200	4	0
201	3	1
202	4	0
203	4	0
204	4	0
205	3	0
206	2	2
207	3	1
208	4	1
209	4	1
210	4	0
211	4	0
212	3	0
213	3	1
214	5	0
215	3	1
216	3	0
217	4	0
218	2	2
219	4	0
220	4	1
221	5	0
222	3	1
223	4	0
224	3	1
225	3	1
226	4	0
227	3	1
228	4	0
229	2	1
230	3	1
231	3	1
232	4	0
233	3	1
234	3	1
235	3	1
236	2	1
237	3	1
238	2	2
239	2	2
240	3	1
241	2	2
242	3	0
243	3	1
244	4	2
245	4	0
246	4	0
247	2	1
248	3	1
249	4	0
250	4	1
251	4	0
252	3	1
253	4	0
254	4	0
255	3	1
256	3	1
257	4	1
258	4	0
259	3	0
260	2	2
261	3	0
262	5	0
263	4	1
264	3	0
265	4	0
266	3	1
267	4	1
268	3	1
269	3	0
270	4	0
271	2	1
272	4	0
273	3	1
274	3	1
275	3	1
276	3	1
277	4	0
278	3	1
279	3	1
280	3	1
281	3	1
282	4	0
283	2	1
284	2	1
285	4	0
286	3	1
287	4	1
288	2	2
289	2	2
290	4	0
291	3	0
292	4	0
293	4	0
294	4	0
295	5	0
296	3	0
297	2	1
298	3	2
299	4	1
300	5	0
301	3	1
302	3	1
303	2	1
304	4	0
305	4	0
306	3	1
307	3	0
308	4	0
309	3	1
310	4	0
311	5	1
312	3	1
313	3	1
314	4	0
315	2	1
316	3	1
317	4	0
318	4	0
319	4	0
320	4	1
321	3	1
322	5	0
323	5	0
324	2	2
325	4	1
326	2	2
327	2	1
328	4	1
329	3	1
330	4	1
331	2	2
332	1	2
333	3	1
334	5	2
335	3	1
336	3	1
337	3	0
338	3	1
339	4	0
340	3	1
341	4	0
342	5	0
343	3	2
344	4	1
345	4	0
346	3	1
347	4	0
348	4	0
349	4	0
350	4	0
351	2	2
352	4	0
353	5	0
354	4	0
355	3	1
356	3	0
357	4	1
358	3	2
359	4	2
360	4	1
361	4	0
362	3	1
363	4	1
364	5	1
365	3	1
366	5	0
367	3	1
368	3	0
369	3	0
370	3	1
371	4	0
372	3	1
373	3	1
374	4	0
375	3	1
376	3	1
377	3	1
378	3	1
379	3	1
380	3	2
