epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.5137,0.92805,5.24101,1.34718,0,0,0,0,1.28823,5.31285,1.4098,1.21847e-05,1.21847e-05,1.21847e-05
2,43.4356,0.57206,5.15116,1.15191,0,0,0,0,0.81545,5.19466,1.06932,2.40326e-05,2.40326e-05,2.40326e-05
3,62.874,0.41642,5.08645,1.06532,0.01163,0.00291,0.00654,0.00523,0.70012,5.07546,1.03594,3.53921e-05,3.53921e-05,3.53921e-05
4,81.2147,0.35564,5.02214,1.03536,0.14733,0.01761,0.01525,0.01132,0.66355,4.96378,0.98236,3.48022e-05,3.48022e-05,3.48022e-05
5,99.5918,0.32272,4.96851,1.01267,0.57231,0.01744,0.03063,0.02527,0.60112,4.88765,0.93154,3.40696e-05,3.40696e-05,3.40696e-05
6,118.05,0.3174,4.92749,1.00603,0.59677,0.01704,0.03257,0.02248,0.58747,4.82296,0.91152,3.3337e-05,3.3337e-05,3.3337e-05
7,136.494,0.31497,4.87986,1.00087,0.02132,0.09477,0.04525,0.02954,0.53803,4.75603,0.85622,3.26044e-05,3.26044e-05,3.26044e-05
8,155.039,0.29466,4.82343,0.99298,0.01186,0.10252,0.03642,0.02437,0.60127,4.68599,0.90664,3.18718e-05,3.18718e-05,3.18718e-05
9,173.415,0.28237,4.77046,0.98163,0.52848,0.04436,0.03959,0.02692,0.62143,4.69038,0.90417,3.11392e-05,3.11392e-05,3.11392e-05
10,191.774,0.29525,4.72701,0.98339,0.55237,0.04546,0.03248,0.02254,0.58676,4.60715,0.84692,3.04066e-05,3.04066e-05,3.04066e-05
11,210.282,0.29843,4.6896,0.97985,0.6214,0.04665,0.06059,0.02887,0.6001,4.51483,0.82397,2.9674e-05,2.9674e-05,2.9674e-05
12,228.781,0.30182,4.63455,0.98442,0.59508,0.05136,0.03817,0.02678,0.61706,4.41541,0.83478,2.89414e-05,2.89414e-05,2.89414e-05
13,247.322,0.30789,4.60165,0.98229,0.01145,0.2905,0.05909,0.02813,0.63202,4.3601,0.85229,2.82088e-05,2.82088e-05,2.82088e-05
14,265.734,0.29426,4.54308,0.97695,0.38607,0.08702,0.03715,0.02506,0.6243,4.2861,0.83989,2.74762e-05,2.74762e-05,2.74762e-05
15,284.129,0.28321,4.49113,0.96952,0.01456,0.3186,0.0602,0.04771,0.66228,4.26332,0.8675,2.67436e-05,2.67436e-05,2.67436e-05
16,302.768,0.30009,4.45452,0.97685,0.01817,0.33023,0.0737,0.0617,0.60737,4.23074,0.83564,2.6011e-05,2.6011e-05,2.6011e-05
17,321.45,0.2957,4.40102,0.9717,0.32017,0.22461,0.05824,0.04457,0.65834,4.23103,0.87696,2.52784e-05,2.52784e-05,2.52784e-05
18,340.111,0.28203,4.35204,0.96597,0.02224,0.41066,0.08756,0.06795,0.62741,4.12459,0.8473,2.45458e-05,2.45458e-05,2.45458e-05
19,358.622,0.31124,4.33189,0.97626,0.02487,0.44554,0.10737,0.09211,0.63168,4.08744,0.8583,2.38132e-05,2.38132e-05,2.38132e-05
20,377.246,0.30225,4.28169,0.97691,0.02145,0.44845,0.12158,0.10189,0.62709,4.10029,0.85115,2.30806e-05,2.30806e-05,2.30806e-05
21,395.71,0.28946,4.25358,0.96622,0.23484,0.28674,0.11246,0.09,0.6198,4.01241,0.83242,2.2348e-05,2.2348e-05,2.2348e-05
22,414.491,0.29431,4.19591,0.96702,0.47229,0.1819,0.12226,0.09882,0.61122,3.97058,0.82574,2.16154e-05,2.16154e-05,2.16154e-05
